0
7
[(4.59,4.89)(6.50,6.28)][(7.26,5.43)(7.80,5.59)][(1.38,5.30)(1.51,6.03)][(3.50,5.49)(3.85,6.44)][(2.83,1.10)(4.47,1.82)][(3.15,6.61)(3.53,7.52)][(3.34,2.36)(4.25,1.35)]
[(4.42,3.37)(1.71,4.53)][(9.20,6.53)(6.29,5.15)][(6.07,4.74)(4.66,8.75)][(4.17,6.62)(5.53,8.73)][(2.05,3.35)(9.48,5.74)][(3.47,1.11)(1.44,1.74)][(2.23,1.83)(2.29,4.64)]
[(3.92,3.87)(2.09,4.17)][(8.73,6.51)(6.63,5.05)][(5.70,4.41)(4.27,9.04)][(3.68,6.99)(5.12,9.23)][(2.54,3.73)(9.45,5.67)][(3.21,1.06)(1.30,1.24)][(1.75,2.22)(2.79,5.01)]
[(4.42,3.39)(2.46,3.68)][(8.82,6.16)(6.20,4.91)][(6.00,4.75)(3.85,8.89)][(4.18,7.36)(5.62,8.77)][(2.28,3.61)(9.93,5.93)][(3.70,1.51)(1.40,1.67)][(1.43,1.81)(2.38,4.91)]
[(3.98,3.88)(1.96,3.57)][(9.01,5.66)(6.13,4.91)][(5.63,4.26)(3.73,9.13)][(4.35,7.65)(5.54,9.09)][(1.88,3.13)(9.43,5.47)][(3.35,2.00)(1.23,1.57)][(1.54,1.38)(1.95,4.61)]
[(3.48,4.32)(1.51,3.12)][(9.39,5.16)(6.35,4.42)][(6.08,3.99)(3.23,9.28)][(4.85,7.30)(5.04,8.81)][(1.96,2.68)(9.90,5.94)][(2.93,1.73)(1.42,2.07)][(1.96,1.68)(2.09,4.15)]
[(3.14,3.82)(1.05,3.31)][(9.74,4.67)(6.02,4.19)][(5.86,4.04)(3.73,9.19)][(4.40,6.85)(5.48,8.34)][(1.72,2.86)(9.92,6.10)][(2.43,1.94)(1.11,1.77)][(2.11,1.51)(2.01,4.46)]
[(3.39,4.32)(1.55,3.17)][(9.26,5.06)(6.29,3.72)][(5.59,4.50)(3.45,9.32)][(4.87,6.76)(5.74,8.12)][(2.14,2.36)(9.85,6.54)][(2.24,1.96)(1.61,1.27)][(2.61,1.91)(1.51,4.32)]
[(3.89,4.81)(1.29,2.70)][(9.72,5.51)(5.81,4.09)][(6.08,4.01)(3.72,9.06)][(5.37,6.27)(5.86,8.17)][(1.66,2.27)(9.90,6.53)][(2.65,1.91)(1.88,1.09)][(2.53,1.57)(1.58,4.37)]
[(4.10,4.80)(1.19,2.38)][(9.52,5.73)(6.30,3.81)][(5.67,4.25)(3.23,8.82)][(5.08,6.01)(5.43,8.51)][(1.46,2.74)(9.67,6.05)][(2.28,1.84)(1.80,1.23)][(2.93,1.75)(1.11,4.71)]
[(4.16,4.31)(1.44,2.66)][(9.39,5.81)(6.39,3.62)][(6.06,4.19)(3.34,9.32)][(5.06,6.26)(4.93,8.02)][(1.03,2.48)(9.23,6.03)][(1.90,1.38)(1.32,1.67)][(2.69,1.55)(1.05,5.21)]
[(3.66,4.04)(1.31,2.37)][(9.21,6.30)(5.99,3.13)][(6.27,4.65)(3.71,9.77)][(4.60,6.11)(5.00,8.28)][(1.53,2.93)(8.89,6.37)][(2.10,1.85)(1.31,1.19)][(2.28,1.91)(1.17,5.71)]
[(4.13,3.77)(1.30,1.96)][(9.38,6.67)(6.49,3.02)][(6.72,4.16)(3.97,9.71)][(4.10,5.88)(4.62,8.43)][(1.36,2.69)(9.35,6.41)][(2.08,1.37)(1.26,1.68)][(1.81,2.15)(1.39,6.16)]
[(4.43,4.18)(1.19,2.46)][(9.64,7.14)(6.08,3.50)][(6.75,4.05)(4.01,9.60)][(4.52,6.02)(5.10,8.25)][(1.47,3.04)(9.85,6.53)][(2.36,1.39)(1.38,1.93)][(1.56,2.61)(1.43,5.96)]
[(4.60,3.69)(1.68,2.90)][(9.27,7.37)(6.19,3.06)][(7.06,4.50)(3.52,9.10)][(4.95,6.05)(5.50,8.16)][(1.85,3.48)(9.83,6.34)][(2.27,1.57)(1.03,2.19)][(1.45,2.90)(1.78,5.51)]
[(4.11,4.07)(1.87,3.39)][(8.77,6.92)(6.37,2.60)][(7.07,5.00)(3.93,8.85)][(4.46,6.31)(5.56,8.20)][(2.35,3.49)(9.54,6.77)][(2.70,1.65)(1.53,2.68)][(1.57,3.03)(1.99,5.57)]
[(3.67,4.42)(2.26,2.90)][(8.32,7.15)(6.00,2.67)][(7.20,4.59)(4.00,9.26)][(4.96,6.73)(5.08,8.68)][(2.67,3.97)(9.51,7.25)][(2.82,1.17)(1.24,2.42)][(1.34,2.53)(2.04,5.14)]
[(3.71,3.92)(2.34,2.69)][(8.40,6.89)(5.53,3.15)][(7.15,4.20)(3.72,9.75)][(4.62,6.68)(5.42,9.01)][(2.72,3.92)(9.52,7.34)][(2.42,1.27)(1.54,1.98)][(1.49,2.87)(1.95,5.64)]
[(4.15,3.45)(2.30,2.24)][(8.13,6.42)(5.05,2.71)][(7.35,3.75)(4.01,9.25)][(5.06,6.18)(5.80,8.97)][(3.15,4.38)(9.91,7.81)][(1.94,1.73)(1.55,1.54)][(1.59,2.42)(2.08,5.21)]
[(3.74,3.35)(2.78,2.47)][(7.73,5.92)(4.60,3.19)][(7.84,4.19)(3.79,9.35)][(5.18,6.20)(5.31,9.35)][(2.67,3.89)(9.87,8.10)][(1.48,2.21)(2.05,1.54)][(1.10,2.64)(1.67,4.95)]
[(3.36,2.86)(3.27,2.18)][(7.38,6.04)(5.10,3.66)][(7.37,4.54)(3.71,9.49)][(5.67,6.66)(4.93,8.88)][(2.97,4.27)(9.39,8.34)][(1.17,1.82)(1.55,1.08)][(1.58,3.13)(2.07,4.83)]
[(2.92,3.34)(2.77,2.63)][(7.00,6.00)(4.65,3.89)][(6.90,4.80)(3.66,9.66)][(6.13,7.13)(4.43,8.96)][(2.74,3.86)(9.18,7.98)][(1.43,2.29)(1.07,1.02)][(1.11,2.67)(2.49,4.34)]
[(3.04,2.91)(2.30,3.13)][(6.50,5.75)(5.07,3.49)][(6.60,5.26)(4.12,9.16)][(5.80,7.23)(4.23,9.32)][(2.30,4.28)(9.12,8.34)][(1.57,2.48)(1.18,1.37)][(1.13,2.33)(2.17,4.68)]
[(2.57,2.87)(1.82,3.15)][(6.33,5.76)(4.61,3.01)][(6.84,4.85)(4.30,9.65)][(5.30,7.19)(4.73,8.94)][(2.34,3.81)(8.81,8.83)][(1.07,2.15)(1.10,1.40)][(1.35,2.17)(1.92,4.60)]
[(2.98,3.37)(1.34,3.61)][(6.65,6.21)(4.12,2.67)][(6.79,5.34)(4.14,9.42)][(5.47,6.69)(4.30,8.83)][(2.31,4.00)(9.07,9.30)][(1.57,1.66)(1.59,1.69)][(1.85,1.68)(1.98,4.53)]
[(3.11,3.02)(1.43,4.01)][(6.68,6.06)(4.42,2.74)][(6.30,4.97)(4.13,9.14)][(5.54,7.17)(4.77,8.45)][(2.32,4.06)(9.16,8.96)][(1.07,2.13)(1.09,1.23)][(1.35,2.17)(2.42,4.91)]
[(3.59,3.10)(1.68,4.50)][(6.41,6.31)(4.29,2.70)][(5.81,4.66)(4.37,8.97)][(5.37,7.24)(4.65,8.59)][(2.70,4.52)(8.96,8.48)][(1.57,2.63)(1.59,1.63)][(1.30,2.34)(2.69,5.27)]
[(4.02,3.09)(2.06,4.83)][(5.92,6.73)(4.78,3.00)][(6.29,4.88)(4.12,8.51)][(5.12,6.74)(4.15,8.52)][(2.27,4.47)(9.06,7.98)][(1.10,2.19)(2.08,1.75)][(1.19,1.86)(2.60,5.17)]
[(4.43,3.10)(1.62,4.33)][(5.65,6.59)(4.31,2.53)][(5.79,5.38)(4.45,8.29)][(4.62,6.87)(4.26,8.63)][(2.17,4.28)(8.56,7.74)][(1.17,1.89)(1.90,2.21)][(1.67,1.40)(2.10,5.42)]
[(4.45,2.61)(1.31,3.90)][(5.20,7.07)(4.12,2.98)][(5.63,5.52)(4.02,7.82)][(4.68,7.31)(4.37,9.02)][(2.08,4.46)(8.36,8.18)][(1.01,1.62)(2.36,1.85)][(2.12,1.08)(2.32,4.92)]
[(4.93,2.75)(1.81,3.42)][(5.55,7.09)(3.76,2.87)][(5.82,6.02)(3.75,7.41)][(4.45,7.44)(3.88,8.64)][(2.53,4.24)(7.91,8.59)][(1.51,1.63)(2.04,2.10)][(1.67,1.44)(2.16,4.62)]
[(5.26,2.86)(2.31,3.39)][(5.07,7.56)(4.18,2.47)][(6.30,6.19)(3.36,6.98)][(4.95,7.50)(3.48,8.82)][(2.18,4.54)(7.90,8.36)][(1.17,1.14)(2.44,1.95)][(1.92,1.37)(2.49,5.09)]
[(5.42,3.07)(2.04,3.48)][(5.46,7.92)(4.31,2.73)][(6.44,6.03)(2.86,6.80)][(4.72,7.08)(3.22,8.34)][(1.72,4.04)(8.24,8.09)][(1.63,1.55)(2.67,1.56)][(1.46,1.07)(2.91,5.04)]
[(4.94,3.42)(2.54,3.87)][(5.04,7.88)(3.89,2.75)][(6.79,6.49)(3.35,6.73)][(4.28,7.50)(3.67,7.85)][(1.23,4.40)(8.66,8.22)][(1.44,1.85)(3.11,1.86)][(1.57,1.21)(2.58,4.92)]
[(5.42,3.11)(2.78,4.35)][(4.71,8.38)(4.38,2.91)][(6.51,6.61)(3.22,7.13)][(4.77,7.98)(3.39,7.74)][(1.64,4.78)(9.16,8.52)][(1.31,1.42)(3.60,2.13)][(1.32,1.37)(3.06,4.51)]
[(4.92,3.22)(2.77,3.87)][(5.20,8.36)(3.90,3.38)][(6.81,6.68)(2.73,6.63)][(4.77,8.06)(2.89,7.58)][(1.15,4.77)(8.98,8.78)][(1.77,1.77)(4.06,1.92)][(1.28,1.57)(3.14,4.35)]
[(5.00,3.17)(3.15,3.93)][(4.79,7.88)(3.82,3.21)][(6.43,6.66)(3.04,6.37)][(4.86,7.80)(3.16,7.76)][(1.55,5.26)(9.39,9.07)][(1.93,1.82)(4.16,1.59)][(1.60,1.67)(3.10,4.71)]
[(4.96,3.36)(3.20,3.44)][(4.72,8.19)(4.16,2.78)][(6.18,7.02)(2.75,6.79)][(5.33,8.16)(2.89,7.34)][(1.50,5.02)(9.44,9.41)][(2.38,1.34)(4.62,1.83)][(1.32,2.15)(3.55,4.31)]
[(4.77,3.77)(2.72,3.30)][(4.74,8.69)(4.33,2.43)][(6.68,7.00)(2.85,6.31)][(5.19,8.62)(2.81,6.85)][(1.79,5.51)(9.93,9.51)][(2.32,1.62)(4.50,1.65)][(1.82,2.59)(3.39,3.83)]
[(5.20,3.80)(3.22,3.37)][(4.99,8.77)(4.71,2.93)][(7.06,6.89)(2.95,6.52)][(5.05,8.38)(3.19,6.69)][(2.29,6.00)(9.95,9.40)][(2.53,1.61)(4.91,1.15)][(2.06,3.09)(3.25,3.40)]
[(5.37,3.31)(3.70,3.06)][(4.54,8.96)(4.43,2.84)][(6.56,6.75)(2.45,6.97)][(4.55,8.31)(3.07,6.73)][(1.82,5.81)(9.77,9.36)][(2.36,1.12)(5.38,1.46)][(1.69,2.59)(3.22,2.91)]
[(5.73,2.89)(3.54,2.56)][(4.89,9.46)(4.84,3.24)][(6.07,7.23)(2.15,6.80)][(4.07,8.76)(3.57,6.60)][(2.29,6.17)(9.71,9.08)][(2.32,1.23)(5.47,1.57)][(1.41,2.37)(3.72,2.96)]
[(5.81,3.11)(3.20,2.16)][(4.52,8.97)(5.32,3.73)][(5.75,7.47)(2.10,6.39)][(4.56,8.37)(4.06,7.03)][(2.65,5.80)(9.33,9.03)][(2.03,1.53)(5.01,1.77)][(1.65,2.17)(3.25,3.38)]
[(5.73,3.56)(3.37,2.53)][(5.01,8.49)(5.43,3.98)][(6.23,7.91)(2.48,6.32)][(4.27,8.32)(4.49,7.26)][(2.15,5.32)(8.83,8.60)][(2.50,1.65)(4.57,2.25)][(1.79,1.99)(3.55,3.69)]
[(5.81,3.98)(3.29,2.66)][(5.50,8.34)(5.04,3.48)][(5.91,8.40)(2.02,6.13)][(3.86,8.41)(4.66,6.81)][(1.86,5.51)(8.45,8.92)][(2.63,1.92)(4.07,1.75)][(2.26,1.82)(3.09,3.64)]
[(5.32,4.16)(3.41,3.11)][(5.16,8.15)(4.59,3.14)][(5.70,8.01)(2.18,6.63)][(3.67,8.81)(4.86,6.93)][(2.00,5.65)(8.05,9.03)][(2.64,1.62)(4.54,2.01)][(2.45,2.29)(3.29,3.37)]
[(5.15,4.04)(3.06,3.47)][(4.87,8.27)(4.58,3.64)][(6.17,7.65)(2.00,6.86)][(3.92,8.36)(4.64,6.45)][(1.53,6.14)(7.56,9.44)][(2.54,1.81)(5.01,2.35)][(2.89,2.11)(3.20,3.64)]
[(5.02,3.56)(2.57,3.13)][(5.27,7.82)(5.08,3.17)][(6.31,7.54)(1.68,6.42)][(3.68,8.26)(4.14,6.22)][(1.23,6.51)(7.71,8.95)][(2.04,1.33)(4.67,2.36)][(3.34,2.44)(2.73,3.72)]
[(4.65,3.28)(2.26,3.62)][(5.03,7.91)(5.28,3.62)][(6.21,8.02)(2.06,6.41)][(3.90,8.35)(4.38,6.72)][(1.29,6.17)(7.25,8.51)][(2.06,1.68)(4.18,1.87)][(2.85,2.14)(2.49,3.26)]
[(5.15,3.71)(1.92,4.07)][(5.39,7.43)(5.32,3.89)][(5.97,8.08)(1.58,6.88)][(3.99,8.84)(4.62,7.22)][(1.47,6.21)(7.55,8.52)][(1.58,2.16)(4.16,1.48)][(3.29,2.22)(2.67,3.04)]
[(5.60,3.22)(1.48,3.62)][(5.31,7.43)(5.49,4.18)][(5.53,7.58)(1.08,7.00)][(3.55,8.39)(4.33,6.75)][(1.96,6.13)(7.12,8.59)][(1.11,1.68)(4.61,1.55)][(2.87,1.96)(2.31,2.67)]
[(5.49,3.08)(1.58,3.61)][(5.79,7.06)(5.06,4.64)][(6.02,7.09)(1.55,6.81)][(4.04,8.15)(3.90,6.75)][(2.41,5.82)(7.05,8.31)][(1.44,1.90)(4.47,1.10)][(2.50,1.57)(2.81,2.48)]
[(5.89,2.93)(1.12,4.00)][(5.51,7.46)(4.57,4.33)][(5.60,7.34)(1.69,7.12)][(4.33,8.26)(4.35,6.26)][(1.99,5.71)(6.98,7.99)][(1.28,1.40)(4.95,1.38)][(2.20,1.17)(3.26,2.80)]
[(6.39,3.02)(1.05,3.53)][(5.69,7.91)(4.12,3.95)][(5.61,7.74)(1.44,7.59)][(4.63,8.63)(4.78,6.53)][(1.88,5.45)(7.46,8.48)][(1.78,1.44)(5.19,1.76)][(2.70,1.24)(3.53,2.80)]
[(6.84,2.53)(1.13,3.95)][(5.19,7.45)(4.46,4.40)][(6.04,7.37)(1.58,7.19)][(4.72,9.08)(4.43,6.48)][(2.15,5.65)(7.01,8.09)][(1.47,1.74)(4.94,1.59)][(3.01,1.16)(3.89,2.66)]
[(6.70,2.88)(1.34,3.99)][(4.69,7.94)(4.33,3.92)][(6.46,7.33)(1.78,7.23)][(5.22,8.78)(4.64,6.16)][(1.77,5.71)(6.70,7.71)][(1.27,2.24)(5.44,1.20)][(3.18,1.05)(3.92,2.16)]
[(6.29,3.25)(1.68,3.94)][(4.68,8.23)(4.62,3.67)][(6.76,7.35)(1.47,7.29)][(5.49,8.45)(4.29,5.86)][(2.24,5.47)(7.19,7.94)][(1.35,2.46)(5.48,1.06)][(3.68,1.20)(3.57,2.52)]
[(6.63,3.53)(2.04,3.64)][(4.36,7.88)(4.70,3.91)][(7.26,7.38)(1.85,7.78)][(5.00,8.26)(3.91,5.57)][(2.26,5.16)(7.09,8.44)][(1.03,2.14)(5.83,1.48)][(3.30,1.29)(3.97,2.11)]
[(7.13,3.81)(2.23,3.45)][(4.17,7.71)(5.09,4.30)][(7.05,7.04)(1.70,7.57)][(5.28,8.72)(3.82,5.37)][(1.78,4.73)(6.69,8.47)][(1.18,1.71)(5.82,1.09)][(3.73,1.79)(3.52,2.57)]
[(7.58,3.39)(2.14,3.63)][(4.48,8.21)(4.69,4.20)][(7.51,6.83)(2.17,7.19)][(5.51,8.50)(3.79,4.92)][(2.07,4.75)(6.27,8.37)][(1.09,1.26)(5.46,1.40)][(4.10,2.21)(4.02,2.25)]
[(7.18,3.12)(2.59,3.60)][(4.40,8.08)(4.28,4.32)][(7.99,6.81)(1.85,7.65)][(5.18,8.89)(3.91,4.71)][(2.56,5.06)(6.46,8.06)][(1.06,1.75)(5.93,1.61)][(3.65,1.96)(4.49,2.60)]
[(7.67,2.64)(2.71,4.09)][(4.89,7.58)(4.60,3.83)][(8.32,6.79)(2.02,7.32)][(5.52,8.89)(4.41,4.52)][(2.37,4.85)(6.95,7.85)][(1.42,1.25)(5.87,1.97)][(3.27,2.40)(4.57,2.72)]
[(8.04,2.80)(3.21,3.73)][(5.16,7.26)(4.16,3.70)][(7.88,6.54)(1.83,7.74)][(5.19,9.18)(4.55,4.61)][(2.86,5.22)(6.79,8.16)][(1.14,1.26)(5.43,2.38)][(2.85,2.04)(4.52,2.74)]
[(7.62,2.44)(3.09,3.41)][(5.22,7.47)(4.49,4.11)][(8.32,6.75)(1.34,7.95)][(5.66,9.66)(4.27,4.24)][(2.53,5.24)(6.40,8.66)][(1.47,1.57)(5.79,2.00)][(2.79,2.11)(4.28,2.36)]
[(7.74,1.94)(3.05,3.11)][(5.00,7.79)(4.89,3.95)][(8.82,7.12)(1.70,7.58)][(5.61,9.78)(4.41,4.01)][(3.03,5.22)(5.97,8.25)][(1.22,1.11)(5.42,2.48)][(2.60,1.83)(4.37,2.80)]
[(7.59,2.44)(2.98,3.61)][(4.99,7.32)(5.33,3.96)][(8.33,7.59)(1.86,7.12)][(5.55,9.36)(4.84,4.44)][(3.52,4.80)(5.70,8.73)][(1.66,1.25)(5.81,2.07)][(2.89,1.33)(4.40,2.68)]
[(7.66,2.39)(3.35,4.09)][(5.49,6.90)(5.78,4.34)][(8.46,8.07)(2.32,6.81)][(5.94,9.84)(5.32,4.49)][(3.06,4.96)(5.60,8.28)][(2.07,1.13)(6.15,2.52)][(3.12,1.79)(4.24,2.52)]
[(8.15,2.61)(3.57,3.73)][(5.16,6.61)(5.29,3.84)][(8.00,7.80)(2.72,6.81)][(5.47,9.40)(5.74,4.70)][(2.56,4.55)(5.24,7.79)][(1.72,1.51)(5.72,2.20)][(3.33,1.30)(4.29,2.67)]
[(8.65,2.14)(3.07,3.44)][(4.84,6.17)(4.96,4.20)][(8.27,7.44)(2.94,7.17)][(5.00,9.76)(6.24,4.53)][(2.76,4.05)(4.74,7.34)][(2.21,1.96)(6.15,2.56)][(3.11,1.80)(3.82,2.27)]
[(8.53,2.62)(2.58,3.90)][(5.33,5.81)(5.09,3.99)][(8.29,7.50)(2.73,6.95)][(5.48,9.72)(6.46,4.04)][(3.25,3.97)(5.08,6.94)][(2.19,2.29)(5.91,2.07)][(2.62,1.32)(3.33,2.62)]
[(8.59,2.47)(3.03,3.53)][(5.30,5.45)(4.73,4.23)][(8.57,7.04)(3.06,6.81)][(5.95,9.58)(6.00,4.27)][(2.99,3.55)(5.51,6.62)][(1.79,1.83)(5.68,2.14)][(2.40,1.63)(2.98,2.85)]
[(8.31,2.75)(3.12,3.58)][(5.46,5.33)(4.46,4.73)][(8.59,6.97)(3.19,7.29)][(5.78,9.81)(6.02,3.99)][(3.49,3.58)(5.02,6.43)][(1.32,2.27)(6.03,1.65)][(2.60,1.13)(3.00,3.30)]
[(7.92,3.20)(2.73,3.97)][(4.99,5.82)(4.47,4.75)][(8.36,6.48)(2.77,6.82)][(5.98,9.32)(5.74,3.64)][(3.00,3.69)(4.67,6.21)][(1.82,2.75)(5.56,1.88)][(2.72,1.08)(3.08,3.45)]
[(8.13,3.69)(2.42,4.37)][(4.97,5.36)(4.93,4.65)][(8.82,6.24)(2.75,7.30)][(5.75,9.04)(5.72,4.10)][(3.49,3.21)(4.91,6.62)][(2.11,3.23)(5.86,1.80)][(2.24,1.04)(3.00,3.64)]
[(7.89,3.87)(2.91,4.09)][(4.83,4.89)(4.55,4.17)][(9.03,6.72)(2.26,6.80)][(5.26,8.77)(5.23,4.04)][(3.03,3.21)(4.89,6.29)][(2.60,3.69)(5.86,1.63)][(2.67,1.15)(3.46,4.13)]
[(7.51,3.37)(2.97,4.51)][(4.58,4.43)(4.99,4.65)][(9.46,6.56)(2.58,6.83)][(4.79,8.36)(5.31,4.54)][(2.69,3.67)(5.24,5.81)][(2.77,3.56)(6.34,1.15)][(2.18,1.23)(3.85,4.57)]
[(7.01,3.83)(3.25,4.93)][(4.77,4.87)(5.26,4.97)][(8.96,7.04)(2.67,6.88)][(5.29,8.82)(5.60,4.32)][(2.90,3.92)(4.74,6.01)][(2.99,4.03)(5.85,1.51)][(2.49,1.60)(3.74,4.12)]
[(6.52,3.33)(3.74,4.44)][(4.28,5.13)(4.77,5.01)][(9.37,6.81)(2.38,6.90)][(4.88,8.86)(6.07,4.70)][(2.94,3.58)(4.34,6.42)][(2.60,4.07)(5.69,1.53)][(2.74,1.61)(4.21,3.96)]
[(6.85,3.81)(3.35,4.41)][(4.75,5.22)(5.27,4.51)][(8.97,6.80)(2.85,7.40)][(4.64,9.36)(5.58,5.02)][(3.33,3.69)(4.50,6.45)][(2.91,4.56)(5.53,1.37)][(2.29,1.15)(4.61,4.19)]
[(7.35,4.17)(3.00,3.97)][(5.19,5.14)(5.21,5.01)][(9.07,6.31)(3.32,7.78)][(4.59,9.38)(5.26,4.56)][(2.83,3.89)(4.41,6.45)][(3.08,4.33)(5.87,1.02)][(2.11,1.07)(4.64,4.59)]
[(7.51,4.09)(3.49,4.26)][(4.93,4.83)(4.86,5.33)][(8.83,6.66)(3.11,8.14)][(4.90,9.56)(5.75,4.66)][(2.85,3.77)(3.92,5.97)][(3.54,3.83)(6.26,1.24)][(1.61,1.39)(4.26,4.82)]
[(7.65,4.02)(3.62,4.28)][(5.38,4.41)(5.35,5.55)][(8.36,6.75)(3.60,7.80)][(4.55,9.61)(6.19,5.04)][(3.35,3.51)(3.53,5.60)][(3.23,4.27)(6.66,1.39)][(1.50,1.71)(4.22,4.32)]
[(7.37,4.25)(3.19,4.75)][(5.36,4.82)(5.06,5.78)][(8.64,6.80)(4.00,8.07)][(5.05,9.15)(6.39,5.02)][(2.97,3.41)(3.44,5.11)][(2.99,4.68)(6.50,1.87)][(1.90,2.19)(4.03,4.18)]
[(7.87,3.85)(3.24,5.17)][(5.25,5.29)(4.69,5.29)][(8.17,7.27)(4.30,7.87)][(5.52,9.52)(6.75,4.63)][(2.50,2.94)(3.72,5.58)][(3.24,4.55)(6.68,2.34)][(1.43,2.69)(4.19,4.68)]
[(7.81,3.70)(2.81,5.62)][(5.23,4.86)(4.25,5.43)][(8.17,7.09)(3.84,7.95)][(5.06,9.68)(6.58,5.08)][(2.44,2.47)(4.13,5.28)][(3.56,5.00)(7.15,2.30)][(1.18,2.30)(3.82,4.28)]
[(7.73,3.20)(3.27,5.61)][(5.71,5.24)(3.77,5.87)][(8.67,7.45)(3.39,7.59)][(5.33,9.90)(7.02,5.55)][(1.94,2.94)(3.77,5.15)][(3.64,4.51)(7.61,2.70)][(1.27,2.24)(3.33,3.92)]
[(7.68,2.76)(2.77,6.11)][(5.81,5.57)(4.27,6.10)][(8.79,7.02)(3.29,7.62)][(5.76,9.71)(6.59,5.99)][(2.37,2.46)(4.00,4.66)][(3.77,4.09)(7.45,3.16)][(1.27,1.96)(3.08,3.55)]
[(7.29,2.61)(3.26,5.93)][(5.33,5.09)(4.75,6.29)][(8.93,6.88)(2.95,8.10)][(5.26,9.25)(7.06,6.26)][(1.88,2.96)(4.49,4.26)][(3.57,3.61)(7.74,2.66)][(1.69,2.46)(3.43,4.02)]
[(7.72,2.15)(2.86,6.03)][(5.43,4.85)(5.02,6.45)][(8.43,6.40)(3.19,7.69)][(5.21,8.77)(7.55,6.33)][(1.85,2.51)(4.06,3.76)][(3.26,3.76)(7.51,2.17)][(1.21,1.96)(3.67,3.52)]
[(7.66,1.72)(3.22,6.18)][(4.99,4.61)(4.54,6.07)][(8.91,6.83)(3.40,7.88)][(5.31,8.89)(7.85,5.85)][(2.35,2.85)(3.57,3.92)][(3.72,3.55)(7.93,1.78)][(1.61,2.30)(4.13,4.00)]
[(7.18,1.33)(3.45,6.48)][(5.18,4.80)(4.37,5.74)][(8.44,7.33)(2.97,7.42)][(5.81,8.79)(8.27,5.44)][(2.81,2.44)(3.83,3.83)][(3.22,3.99)(8.32,1.50)][(2.11,2.10)(4.27,3.96)]
[(6.69,1.06)(3.95,6.76)][(5.63,4.48)(4.87,5.73)][(8.94,7.82)(2.50,7.75)][(6.29,9.27)(8.74,5.82)][(2.66,2.54)(4.10,4.16)][(2.92,4.45)(8.67,1.73)][(2.51,1.82)(4.45,4.16)]
[(7.00,1.54)(3.98,6.28)][(6.04,4.33)(4.37,5.90)][(9.43,7.45)(2.01,8.15)][(5.83,9.23)(9.00,6.32)][(2.16,3.02)(4.59,3.88)][(3.41,3.95)(9.03,2.08)][(2.01,1.73)(4.66,3.70)]
[(6.95,1.66)(3.77,5.95)][(5.64,4.47)(4.87,6.06)][(9.57,7.75)(1.62,8.62)][(5.74,9.72)(9.45,6.20)][(2.65,3.25)(5.05,4.10)][(3.49,4.14)(8.70,1.99)][(2.48,1.78)(4.21,3.28)]
[(6.55,1.79)(3.80,5.57)][(5.17,4.96)(4.93,6.56)][(9.88,8.06)(2.06,8.36)][(6.15,9.35)(9.46,6.17)][(3.15,3.43)(5.04,3.69)][(3.99,4.28)(9.05,1.50)][(2.95,2.07)(4.16,3.60)]
[(6.31,2.29)(3.44,5.73)][(4.69,4.59)(4.71,6.54)][(9.39,8.54)(2.56,8.85)][(5.66,8.92)(9.42,5.67)][(3.45,3.71)(5.41,4.19)][(4.17,3.79)(9.02,1.87)][(3.35,2.56)(3.68,3.88)]
[(6.34,2.68)(3.46,6.11)][(4.24,4.92)(4.68,7.03)][(9.43,8.18)(2.68,9.12)][(5.20,9.21)(9.09,5.41)][(3.78,3.89)(5.60,3.93)][(4.38,4.27)(9.17,1.68)][(3.61,2.06)(4.07,3.65)]
[(6.82,3.16)(3.07,6.55)][(3.75,4.43)(5.00,7.48)][(9.27,8.55)(3.02,9.33)][(4.84,8.93)(8.70,5.17)][(3.28,3.51)(5.88,4.30)][(4.86,3.77)(8.74,1.20)][(3.57,1.60)(3.64,3.93)]
[(6.42,3.62)(3.50,6.07)][(3.28,4.47)(4.87,7.63)][(9.72,8.79)(3.40,9.48)][(5.13,9.19)(9.20,4.67)][(2.78,3.83)(6.22,4.27)][(4.79,3.28)(9.24,1.60)][(3.53,1.69)(4.02,4.34)]
[(6.05,3.34)(3.02,6.44)][(3.43,4.42)(5.14,7.17)][(9.73,8.88)(3.43,9.10)][(5.00,8.76)(9.02,4.95)][(2.30,3.34)(6.71,4.02)][(5.13,3.44)(8.82,1.99)][(3.25,1.81)(3.58,4.80)]
[(6.49,3.80)(3.08,6.85)][(3.23,4.14)(5.20,7.28)][(9.94,9.15)(3.16,9.60)][(4.77,9.16)(9.01,4.51)][(2.42,3.09)(6.21,4.47)][(5.18,3.62)(8.59,1.68)][(3.62,2.26)(4.08,5.12)]
[(6.53,3.67)(2.65,6.82)][(2.80,4.64)(4.70,7.05)][(9.72,8.86)(3.01,9.27)][(4.86,9.55)(9.03,4.21)][(2.44,3.59)(6.68,4.53)][(5.59,3.24)(8.20,1.90)][(3.62,2.07)(3.65,4.92)]
[(6.97,3.82)(2.15,7.04)][(3.01,4.40)(4.22,7.53)][(9.97,9.26)(3.48,8.77)][(4.36,9.99)(8.86,3.86)][(1.95,3.96)(7.18,4.94)][(5.23,3.68)(8.69,1.40)][(3.34,1.91)(3.23,4.55)]
